Store Directory,,,,,,,,,,,,,
,,,Winter Springs ,,FL,,32708-2715,,,,,,
,,,,,,,,,,,,,
C,,,Rosewood Shopping Center ,,,,,,Charles N. Gainer ,Dexter S. Osha Ii ,(803) 806 - 8839,Pharmacy,Richland 
0067,,,2800 Rosewood Drive ,,,,,,,,,,
,,,Columbia ,,SC,,29205-3412,,,,,,
,,,,,,,,,,,,,
M,,,Higate Square ,,,,,,Jerry D. Reed ,Shane C. Nelson ,(305) 385 - 0200,,Dade 
0069,,,13820 S.w. 88th Street ,,,,,,,,,,
,,,Miami ,,FL,,33186-1304,,,,,,
,,,,,,,,,,,,,
M,,,Coral Ridge Shopping Center ,,,,,,Jamie W Laviolette ,John M. Kalis ,(954) 564 - 9612,Pharmacy,Broward 
0070,,,3400 N. Federal Hwy. ,,,,,,,,,Liquor Store,
,,,Ft. Lauderdale ,,FL,,33306-1036,,,,,,
,,,,,,,,,,,,,
M,,,Publix @ Surfside ,,,,,,Jerry D. Reed ,Charles S. Anderson ,(305) 865 - 1263,Pharmacy,Dade 
0073,,,9400 Harding Avenue ,,,,,,,,,,
,,,Surfside ,,FL,,33154-2804,,,,,,
,,,,,,,,,,,,,
A,,,Lilburn Corners Shopping Center ,,,,,,Jasmin Ovcina ,Ronald D. Watson ,(770) 806 - 4040,Pharmacy,Gwinnett 
0074,,,375 Rockbridge Road ,,,,,,,,,,
,,,Lilburn ,,GA,,30047-8225,,,,,,
,,,,,,,,,,,,,
A,,,The Shops Of Lake Tuscaloosa ,,,,,,Thomas E. Sayers ,James Mowery ,(205) 247 - 7666,Pharmacy,Tuscaloosa 
0075,,,"4851 Rice Mine Road Ne, Suite 200 ",,,,,,,,,,
,,,Tuscaloosa ,,AL,,35406-3571,,,,,,
,,,,,,,,,,,,,
M,,,Coral Gables ,,,,,,Jerry D. Reed ,Chadi M. Majzoub ,(305) 445 - 2641,,Dade 
0084,,,2551 S. Lejeune Road ,,,,,,,,,,
,,,Coral Gables ,,FL,,33134-5805,,,,,,
,,,,,,,,,,,,,
A,,,Publix At Shallowford ,,,,,,Aissata Deme ,John P. Watterson ,(770) 640 - 6200,Pharmacy,Cobb 
0086,,,4401 Shallowford Road ,,,,,,,,,,
,,,Roswell ,,GA,,30075-3193,,,,,,
,,,,,,,,,,,,,
M,,,Miami Beach ,,,,,,Jerry D. Reed ,Paul A. Acosta ,(305) 534 - 4621,,Dade 
0091,,,1045 Dade Blvd. ,,,,,,,,,,
,,,Miami Beach ,,FL,,33139-1509,,,,,,
,,,,,,,,,,,,,
A,,,Stockbridge Lakes ,,,,,,Aissata Deme ,Trent J. Collins ,(770) 389 - 4666,Pharmacy,Henry 
0092,,,250 East Atlanta Road ,,,,,,,,,,
,,,Stockbridge ,,GA,,30281-3414,,,,,,
,,,,,,,,,,,,,
M,,,Coral Gables ,,,,,,Jerry D. Reed ,Chadi M. Majzoub ,(305) 667 - 1681,,Dade 
0094,,,1401 Monza Avenue ,,,,,,,,,,
,,,Coral Gables ,,FL,,33146-3117,,,,,,
,,,,,,,,,,,,,
L,,,Colonial Bardmoor Promenade ,,,,,,Joseph V. Taylor ,Kerry S Harrison ,(727) 397 - 4223,Pharmacy,Pinellas 
0095,,,10801 Starkey Road Bld  200 ,,,,,,,,,Liquor Store,
,,,Seminole ,,FL,,33777-1161,,,,,,
,,,,,,,,,,,,,
L,,,Shoppes On The Ridge ,,,,,,Ernest P. Helm ,Andrew C. Christ ,(863) 676 - 1215,Pharmacy,Polk 
0097,,,23965 U.s. Highway 27 ,,,,,,,,,,
,,,Lake Wales ,,FL,,33859-7812,,,,,,
,,,,,,,,,,,,,
J,,,Cobblestone Village At St. Augustine ,,,,,,Stephan M. Walker ,Barry M. Rickelman ,(904) 808 - 0514,Pharmacy,St. Johns 
0099,,,125 Jenkins Street ,,,,,,,,,,
,,,St. Augustine ,,FL,,32086-5167,,,,,,
,,,,,,,,,,,,,
L,,,Shoppes Of Golden Acres ,,,,,,Joseph V. Taylor ,Chris Mcgough ,(727) 862 - 5866,Pharmacy,Pasco 
0102,,,9850 Little Road ,,,,,,,,,,
,,,New Port Richey ,,FL,,34654-3470,,,,,,
,,,,,,,,,,,,,
L,,,Mango Square ,,,,,,Ernest P. Helm ,Tab E. Bryant ,(813) 684 - 6029,Pharmacy,Hillsborough 
0103,,,11782 East Dr. Martin Luther King Jr. Boulevard ,,,,,,,,,,
,,,Seffner ,,FL,,33584-4923,,,,,,
,,,,,,,,,,,,,
A,,,The Vineyards ,,,,,,Jasmin Ovcina ,Tammy Quirion ,(678) 425 - 6200,Pharmacy,Barrow 
0108,,,"2095 Highway 211, N.w. ",,,,,,,,,,
,,,Braselton ,,GA,,30517-3402,,,,,,
,,,,,,,,,,,,,
L,,,Pinellas Crossings ,,,,,,Joseph V. Taylor ,Kerry S Harrison ,(727) 546 - 5866,Pharmacy,Pinellas 
0111,,,7333 Park Boulevard ,,,,,,,,,,
,,,Pinellas Park ,,FL,,33781-2922,,,,,,
,,,,,,,,,,,,,
M,,,Wilton Manors ,,,,,,Jamie W Laviolette ,John M. Kalis ,(954) 565 - 4891,,Broward 
0114,,,100 W. Oakland Park Blvd. ,,,,,,,,,,
,,,Wilton Manors ,,FL,,33311-2522,,,,,,
,,,,,,,,,,,,,
M,,,Northlake Village ,,,,,,David J. Tapia ,Dennis J. Sullivan ,(863) 763 - 3500,Pharmacy,Okeechobee 
0118,,,3551 Highway 441 South ,,,,,,,,,,
,,,Okeechobee ,,FL,,34974-6247,,,,,,
,,,,,,,,,,,,,
C,,,Indian Lake Boulevard ,,,,,,Felix N. Allen ,Joe Prestigiacomo ,(615) 264 - 1350,Pharmacy,Sumner 
0119,,,110 Indian Lake Boulevard ,,,,,,,,,,
,,,Hendersonville ,,TN,,37075-6206,,,,,,
,,,,,,,,,,,,,
A,,,Macland Pointe S/c ,,,,,,Aissata Deme ,Bruce C. Humphries ,(770) 423 - 4160,Pharmacy,Cobb 
0122,,,1750 Powder Springs Road_sw ,,,,,,,,,,
,,,Marietta ,,GA,,30064-4850,,,,,,
,,,,,,,,,,,,,
C,,,Bellevue Center ,,,,,,Felix N. Allen ,Jeromy B. Hupp ,(615) 646 - 1870,Pharmacy,Davidson 
0123,,,7604 Highway 70 South ,,,,,,,,,,
,,,Nashville ,,TN,,37221-1852,,,,,,
,,,,,,,,,,,,,
M,,,The Reserve At Boca Raton ,,,,,,Timothy J. Redding ,Joshua F. Tenore ,(561) 218 - 6114,Pharmacy,Palm Beach 
0126,,,9720 Clint Moore Road ,,,,,,,,,,
,,,Boca Raton ,,FL,,33496-1011,,,,,,
,,,,,,,,,,,,,
M,,,Miami ,,,,,,Jerry D. Reed ,Chadi M. Majzoub ,(305) 445 - 9661,,Dade 
0127,,,2270 S.w. 27th Avenue ,,,,,,,,,,
,,,Miami ,,FL,,33145-3434,,,,,,
,,,,,,,,,,,,,
J,,,Oakleaf Plantation Center ,,,,,,Stephan M. Walker ,Bryan P. Miller ,(904) 317 - 5755,Pharmacy,Duval 
0128,,,9518 Argyle Forest Boulevard ,,,,,,,,,,
,,,Jacksonville ,,FL,,32222-2800,,,,,,
,,,,,,,,,,,,,
L,,,Kingsway Crossing ,,,,,,Ernest P. Helm ,Tab E. Bryant ,(813) 654 - 7689,Pharmacy,Hillsborough 
0129,,,1220 Kingsway Road ,,,,,,,,,Liquor Store,
,,,Brandon ,,FL,,33510-2514,,,,,,
,,,,,,,,,,,,,
J,,,The Grove ,,,,,,Wyatte L. Osteen ,Mark G. Buckner ,(407) 909 - 8080,Pharmacy,Orange 
0133,,,4870 South Apopka Vineland Road ,,,,,,,,,,
,,,Orlando ,,FL,,32819-3127,,,,,,
,,,,,,,,,,,,,
L,,,Dolphin Village Shopping Center ,,,,,,Joseph V. Taylor ,Timothy J. Henning ,(727) 360 - 7091,,Pinellas 
0139,,,4655 Gulf Blvd ,,,,,,,,,,
,,,St. Petersburg Beach ,,FL,,33706-2405,,,,,,
,,,,,,,,,,,,,
L,,,Carillon Town Center ,,,,,,Joseph V. Taylor ,Michael P. Aitken ,(727) 540 - 1660,Pharmacy,Pinellas 
0140,,,120 Carillon Parkway ,,,,,,,,,,
,,,St. Petersburg ,,FL,,33716-1201,,,,,,
,,,,,,,,,,,,,
C,,,Cool Springs Festival ,,,,,,Felix N. Allen ,Albert Dimercurio ,(615) 221 - 9880,Pharmacy,Williamson 
0142,,,8105 Moores Lane ,,,,,,,,,,
,,,Brentwood ,,TN,,37027-8020,,,,,,
,,,,,,,,,,,,,
L,,,Tarpon Mall ,,,,,,Joseph V. Taylor ,April R. Young ,(727) 934 - 6535,Pharmacy,Pinellas 
0144,,,40932 U.s. Highway 19 North ,,,,,,,,,,
,,,Tarpon Springs ,,FL,,34689-5446,,,,,,
,,,,,,,,,,,,,
A,,,The Village At Mirror Lake ,,,,,,Aissata Deme ,Kourosh Noorbehesht ,(678) 840 - 8778,Pharmacy,Douglas 
0145,,,2000 Mirror Lake Boulevard ,,,,,,,,,,
,,,Villa Rica ,,GA,,30180-2124,,,,,,
,,,,,,,,,,,,,
A,,,Wade Green Village ,,,,,,Aissata Deme ,Radames Aponte ,(770) 419 - 4030,Pharmacy,Cobb 
0146,,,"4430 Wade Green Road Nw, Suite 100 ",,,,,,,,,,
,,,Kennesaw ,,GA,,30144-1267,,,,,,
,,,,,,,,,,,,,
L,,,Sarasota Crossings ,,,,,,Marsha C. Singh ,Michael A. Kot ,(941) 377 - 4405,Pharmacy,Sarasota 
0148,,,5391 Fruitville Road ,,,,,,,,,,
,,,Sarasota ,,FL,,34232-6402,,,,,,
,,,,,,,,,,,,,
J,,,Watercolor Crossing ,,,,,,James L. Sheppard ,Johnny L. Hankerson Jr ,(850) 534 - 4565,,Walton 
0153,,,110 Watercolor Way ,,,,,,,,,,
,,,Santa Rosa Beach ,,FL,,32459-7354,,,,,,
,,,,,,,,,,,,,
A,,,Woodlawn Point Shopping Center ,,,,,,Aissata Deme ,John P. Watterson ,(770) 509 - 2350,Pharmacy,Cobb 
0155,,,1100 Johnson Ferry Road ,,,,,,,,,,
,,,Marietta ,,GA,,30068-2794,,,,,,
,,,,,,,,,,,,,
L,,,Grand Bay Plaza ,,,,,,Marsha C. Singh ,Bryan J. Lanzilotta ,(239) 432 - 2522,Pharmacy,Lee 
0157,,,19100 South Tamiami Trail ,,,,,,,,,Liquor Store,
,,,Ft. Myers ,,FL,,33908-1011,,,,,,
,,,,,,,,,,,,,
C,,,Publix At Fieldstone Farms ,,,,,,Felix N. Allen ,Albert Dimercurio ,(615) 599 - 1825,Pharmacy,Williamson 
0160,,,2020 Fieldstone Parkway ,,,,,,,,,,
,,,Franklin ,,TN,,37069-4337,,,,,,
,,,,,,,,,,,,,
L,,,Crossroads Shopping Center ,,,,,,Marsha C. Singh ,Mackenzie D. Mast ,(239) 226 - 9701,Pharmacy,Lee 
0162,,,5781 Lee Boulevard ,,,,,,,,,,
,,,Lehigh Acres ,,FL,,33971-6337,,,,,,
,,,,,,,,,,,,,
A,,,Edgemont Town Center ,,,,,,Thomas E. Sayers ,Keith A. Baranowski ,(205) 944 - 1101,Pharmacy,Jefferson 
0165,,,411 Green Springs Highway ,,,,,,,,,,
,,,Homewood ,,AL,,35209-4909,,,,,,
,,,,,,,,,,,,,
M,,,Miramar ,,,,,,Jamie W Laviolette ,Michael G. Farrell ,(954) 966 - 9100,,Broward 
0167,,,6890 Miramar Parkway ,,,,,,,,,,
,,,Miramar ,,FL,,33023-6000,,,,,,
,,,,,,,,,,,,,
L,,,Neopolitan Way Shopping Center ,,,,,,Marsha C. Singh ,Julian A. Agollari ,(239) 649 - 6400,,Collier 
0172,,,4601 9th Street- North ,,,,,,,,,,
,,,Naples ,,FL,,34103-3004,,,,,,
,,,,,,,,,,,,,
C,,,Franklin Marketplace ,,,,,,Felix N. Allen ,Albert Dimercurio ,(615) 591 - 3285,Pharmacy,Williamson 
0176,,,1021 Riverside Drive ,,,,,,,,,,
,,,Franklin ,,TN,,37064-6500,,,,,,
,,,,,,,,,,,,,
J,,,Deerwood Village Shopping Center ,,,,,,Stephan M. Walker ,Kristi King ,(904) 641 - 2435,,Duval 
0177,,,9964 Old Baymeadows Road ,,,,,,,,,,
,,,Jacksonville ,,FL,,32256-8103,,,,,,
,,,,,,,,,,,,,
J,,,Harbour Place ,,,,,,Stephan M. Walker ,Scott B. Mcgee ,(904) 221 - 9821,Pharmacy,Duval 
0178,,,"13170 Atlantic Blvd., Suite 29 ",,,,,,,,,,
,,,Jacksonville ,,FL,,32225-4150,,,,,,
,,,,,,,,,,,,,
M,,,Oakbrook Square Shopping Center ,,,,,,David J. Tapia ,Patrick M. Murphy ,(561) 622 - 0804,Pharmacy,Palm Beach 
0179,,,11566 Us 1 ,,,,,,,,,,
,,,Palm Beach Gardens ,,FL,,33408-3019,,,,,,
,,,,,,,,,,,,,
M,,,Nassau Square ,,,,,,Timothy J. Redding ,George L. Shelby ,(561) 969 - 3880,Pharmacy,Palm Beach 
0180,,,7745 Lake Worth Rd ,,,,,,,,,,
,,,Lake Worth ,,FL,,33467-2536,,,,,,
,,,,,,,,,,,,,
M,,,The Plaza At Delray ,,,,,,Timothy J. Redding ,Joshua F. Tenore ,(561) 272 - 1291,,Palm Beach 
0181,,,1538 South Federal Highway ,,,,,,,,,Liquor Store,
,,,Delray Beach ,,FL,,33483-5032,,,,,,
,,,,,,,,,,,,,
C,,,Oakwood Commons ,,,,,,Felix N. Allen ,Joe Prestigiacomo ,(615) 874 - 0898,Pharmacy,Davidson 
0182,,,4670 Lebanon Pike ,,,,,,,,,,
,,,Hermitage ,,TN,,37076-1314,,,,,,
,,,,,,,,,,,,,
M,,,Publix At Town Commons ,,,,,,Timothy J. Redding ,George L. Shelby ,(561) 304 - 0697,Pharmacy,Palm Beach 
0184,,,8899 Hypoluxo Road ,,,,,,,,,Liquor Store,
,,,Lake Worth ,,FL,,33467-5203,,,,,,
,,,,,,,,,,,,,
M,,,Gardens Square Shopping Center ,,,,,,Jamie W Laviolette ,Michael G. Farrell ,(305) 829 - 0423,Pharmacy,Dade 
0188,,,8601 N. W. 186th Street ,,,,,,,,,,
,,,Miami ,,FL,,33157-7255,,,,,,
,,,,,,,,,,,,,
C,,,Center Point ,,,,,,Charles N. Gainer ,Donald T. Calabrese ,(864) 850 - 2270,Pharmacy,Pickens 
0205,,,6525 Calhoun Memorial Highway ,,,,,,,,,,
,,,Easley ,,SC,,29640-3669,,,,,,
,,,,,,,,,,,,,
A,,,Mountain Cove Crossing ,,,,,,Thomas E. Sayers ,Jeffrey R. Jeup ,(256) 885 - 0002,Pharmacy,Madison 
0209,,,12796 Bailey Cove Road ,,,,,,,,,,
,,,Huntsville ,,AL,,35803-2659,,,,,,
,,,,,,,,,,,,,
M,,,Garden Square ,,,,,,David J. Tapia ,Patrick M. Murphy ,(561) 622 - 3584,Pharmacy,Palm Beach 
0212,,,10913 N. Military Trail ,,,,,,,,,,
,,,Palm Beach Gardens ,,FL,,33410-6501,,,,,,
,,,,,,,,,,,,,
M,,,Palm Lakes Plaza ,,,,,,Jamie W Laviolette ,James Saul ,(954) 979 - 2555,,Broward 
0214,,,7230 W. Atlantic Blvd. ,,,,,,,,,,
,,,Margate ,,FL,,33063-4236,,,,,,
,,,,,,,,,,,,,
M,,,Palm Bay Center ,,,,,,David J. Tapia ,Dennis C Broughton ,(321) 724 - 4724,,Brevard 
0215,,,4711 Babcock St. N.e. ,,,,,,,,,,
,,,Palm Bay ,,FL,,32905-2805,,,,,,
,,,,,,,,,,,,,
L,,,Hernando West Plaza ,,,,,,Joseph V. Taylor ,Allyn D. Welch ,(352) 683 - 6040,,Hernando 
0220,,,1400 Pinehurst Drive ,,,,,,,,,,
,,,Spring Hill ,,FL,,34606-4553,,,,,,
,,,,,,,,,,,,,
M,,,Miller Square Shopping Center ,,,,,,Jerry D. Reed ,Shane C. Nelson ,(305) 387 - 3100,,Dade 
0222,,,13890 S. W. 56th Street ,,,,,,,,,,
,,,Miami ,,FL,,33175-6021,,,,,,
,,,,,,,,,,,,,
M,,,Publix Super Markets ,,,,,,Jerry D. Reed ,Glen P Weston ,(305) 255 - 8005,,Dade 
0223,,,14601 South Dixie Highway ,,,,,,,,,Liquor Store,
,,,Palmetto Bay ,,FL,,33176-7926,,,,,,
,,,,,,,,,,,,,
A,,,Medlock Corners ,,,,,,Jasmin Ovcina ,Corwyn C. Ring ,(770) 813 - 7450,Pharmacy,Fulton 
0226,,,5805 State Bridge Road ,,,,,,,,,,
,,,Johns Creek ,,GA,,30097-8220,,,,,,
,,,,,,,,,,,,,
J,,,Hunt Club Corners ,,,,,,Wyatte L. Osteen ,Nicolla D. Binford ,(407) 862 - 5255,Pharmacy,Seminole 
0227,,,540 Hunt Club Blvd. ,,,,,,,,,,
,,,Apopka ,,FL,,32703-4960,,,,,,
,,,,,,,,,,,,,
M,,,Chasewood Plaza ,,,,,,David J. Tapia ,Lillian L. Cook ,(561) 741 - 1220,Pharmacy,Palm Beach 
0228,,,6330 West Indiantown Road ,,,,,,,,,,
,,,Jupiter ,,FL,,33458-7981,,,,,,
,,,,,,,,,,,,,
J,,,Indian River Village Shopping Center ,,,,,,David W. Currey ,Mark C. Hanley ,(386) 428 - 6465,Pharmacy,Volusia 
0229,,,709 East Third Avenue ,,,,,,,,,Liquor Store,
,,,New Smyrna Beach ,,FL,,32169-3101,,,,,,
,,,,,,,,,,,,,
J,,,Publix Center Of St. Cloud ,,,,,,Wyatte L. Osteen ,Mark S. Mclaughlin ,(407) 498 - 3070,Pharmacy,Osceola 
0235,,,4401 13th Street ,,,,,,,,,,
,,,St. Cloud ,,FL,,34769-6724,,,,,,
,,,,,,,,,,,,,
M,,,Alegre Plaza ,,,,,,Jerry D. Reed ,Shane C. Nelson ,(305) 223 - 0332,Pharmacy,Dade 
0238,,,14630 Sw 26th Street ,,,,,,,,,,
,,,Miami ,,FL,,33175-8065,,,,,,
,,,,,,,,,,,,,
M,,,Welleby Plaza ,,,,,,Jamie W Laviolette ,James Saul ,(954) 748 - 5300,Pharmacy,Broward 
0239,,,10155 West Oakland Park Blvd. ,,,,,,,,,,
,,,Sunrise ,,FL,,33351-6918,,,,,,
,,,,,,,,,,,,,
M,,,12th Street Plaza ,,,,,,David J. Tapia ,Brett L. Tessier ,(772) 778 - 1984,Pharmacy,Indian River 
0240,,,1255 Us Highway 1 ,,,,,,,,,Liquor Store,
,,,Vero Beach ,,FL,,32960-5729,,,,,,
,,,,,,,,,,,,,
M,,,Tamarac Town Square ,,,,,,Jamie W Laviolette ,James Saul ,(954) 726 - 1990,,Broward 
0242,,,8245 N.w. 88th Avenue ,,,,,,,,,,
,,,Tamarac ,,FL,,33321-1541,,,,,,
,,,,,,,,,,,,,
M,,,Sawgrass Promenade ,,,,,,Timothy J. Redding ,Nicholas C. Berardino ,(954) 427 - 5828,,Broward 
0246,,,1337 South Military Trail ,,,,,,,,,,
,,,Deerfield Beach ,,FL,,33442-7634,,,,,,
,,,,,,,,,,,,,
M,,,Pine Island Ridge Plaza ,,,,,,Jamie W Laviolette ,Vincent W. Harris ,(954) 472 - 4511,Pharmacy,Broward 
